% Model:              model_s.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 19 2021, 16:27
% Dimension:          1
% Nodes:              803
% Expressions:        1
% Description:        Line graph
% x             Height
0.0000          NaN
0.20000         NaN
0.40000         NaN
0.60000         NaN
0.80000         NaN
1.0000          NaN
1.2000          NaN
1.4000          NaN
1.6000          NaN
1.8000          NaN
2.0000          NaN
2.2000          NaN
2.4000          NaN
2.6000          NaN
2.8000          NaN
3.0000          NaN
3.2000          NaN
3.4000          NaN
3.6000          NaN
3.8000          NaN
4.0000          NaN
4.2000          NaN
4.4000          NaN
4.6000          NaN
4.8000          NaN
5.0000          NaN
5.2000          NaN
5.4000          NaN
5.6000          NaN
5.8000          NaN
6.0000          NaN
6.2000          NaN
6.4000          NaN
6.6000          NaN
6.8000          NaN
7.0000          NaN
7.2000          NaN
7.4000          NaN
7.6000          NaN
7.8000          NaN
8.0000          NaN
8.2000          NaN
8.4000          NaN
8.6000          NaN
8.8000          NaN
9.0000          NaN
9.2000          NaN
9.4000          NaN
9.6000          NaN
9.8000          NaN
10.000          NaN
10.200          NaN
10.400          NaN
10.600          NaN
10.800          NaN
11.000          NaN
11.200          NaN
11.400          NaN
11.600          NaN
11.800          NaN
12.000          NaN
12.200          NaN
12.400          NaN
12.600          NaN
12.800          NaN
13.000          NaN
13.200          NaN
13.400          NaN
13.600          NaN
13.800          NaN
14.000          NaN
14.200          NaN
14.400          NaN
14.600          NaN
14.800          NaN
15.000          NaN
15.200          NaN
15.400          NaN
15.600          NaN
15.800          NaN
16.000          NaN
16.200          NaN
16.400          NaN
16.600          NaN
16.800          NaN
17.000          NaN
17.200          NaN
17.400          NaN
17.600          NaN
17.800          NaN
18.000          NaN
18.200          NaN
18.400          NaN
18.600          NaN
18.800          NaN
19.000          NaN
19.200          NaN
19.400          NaN
19.600          NaN
19.800          NaN
20.000          NaN
20.000          -5.4498E-13
20.200          1.3899E-11
20.400          2.8343E-11
20.600          4.2786E-11
20.800          5.7230E-11
21.000          7.1674E-11
21.200          8.8303E-11
21.400          1.0615E-10
21.600          1.2400E-10
21.800          1.4184E-10
22.000          1.5969E-10
22.200          1.8351E-10
22.400          2.0897E-10
22.600          2.3443E-10
22.800          2.5988E-10
23.000          2.8534E-10
23.200          3.2196E-10
23.400          3.6103E-10
23.600          4.0010E-10
23.800          4.3916E-10
24.000          4.7823E-10
24.200          5.3628E-10
24.400          5.9816E-10
24.600          6.6004E-10
24.800          7.2191E-10
25.000          7.8379E-10
25.200          8.7697E-10
25.400          9.7624E-10
25.600          1.0755E-9
25.800          1.1748E-9
26.000          1.2740E-9
26.200          1.4243E-9
26.400          1.5843E-9
26.600          1.7444E-9
26.800          1.9044E-9
27.000          2.0645E-9
27.200          2.3072E-9
27.400          2.5658E-9
27.600          2.8243E-9
27.800          3.0829E-9
28.000          3.3414E-9
28.200          3.7338E-9
28.400          4.1518E-9
28.600          4.5697E-9
28.800          4.9877E-9
29.000          5.4057E-9
29.200          6.0402E-9
29.400          6.7161E-9
29.600          7.3919E-9
29.800          8.0678E-9
30.000          8.7437E-9
30.200          9.7698E-9
30.400          1.0863E-8
30.600          1.1956E-8
30.800          1.3049E-8
31.000          1.4142E-8
31.200          1.5802E-8
31.400          1.7569E-8
31.600          1.9337E-8
31.800          2.1105E-8
32.000          2.2873E-8
32.200          2.5557E-8
32.400          2.8416E-8
32.600          3.1275E-8
32.800          3.4134E-8
33.000          3.6993E-8
33.200          4.1334E-8
33.400          4.5958E-8
33.600          5.0581E-8
33.800          5.5205E-8
34.000          5.9829E-8
34.200          6.6850E-8
34.400          7.4328E-8
34.600          8.1807E-8
34.800          8.9285E-8
35.000          9.6763E-8
35.200          1.0812E-7
35.400          1.2021E-7
35.600          1.3231E-7
35.800          1.4440E-7
36.000          1.5590E-7
36.200          1.7486E-7
36.400          1.9442E-7
36.600          2.1399E-7
36.800          2.3355E-7
37.000          2.5311E-7
37.200          2.8281E-7
37.400          3.1445E-7
37.600          3.4609E-7
37.800          3.7772E-7
38.000          4.0779E-7
38.200          4.5740E-7
38.400          5.0857E-7
38.600          5.5973E-7
38.800          6.1090E-7
39.000          6.5954E-7
39.200          7.3976E-7
39.400          8.2252E-7
39.600          9.0527E-7
39.800          9.8803E-7
40.000          1.0667E-6
40.200          1.1964E-6
40.400          1.3303E-6
40.600          1.4641E-6
40.800          1.5980E-6
41.000          1.7252E-6
41.200          1.9350E-6
41.400          2.1515E-6
41.600          2.3680E-6
41.800          2.5844E-6
42.000          2.7902E-6
42.200          3.1296E-6
42.400          3.4797E-6
42.600          3.8298E-6
42.800          4.1799E-6
43.000          4.5126E-6
43.200          5.0615E-6
43.400          5.6278E-6
43.600          6.1940E-6
43.800          6.7602E-6
44.000          7.2984E-6
44.200          8.1862E-6
44.400          9.1019E-6
44.600          1.0018E-5
44.800          1.0933E-5
45.000          1.1804E-5
45.200          1.3240E-5
45.400          1.4721E-5
45.600          1.6202E-5
45.800          1.7683E-5
46.000          1.9091E-5
46.200          2.1413E-5
46.400          2.3808E-5
46.600          2.6204E-5
46.800          2.8599E-5
47.000          3.0876E-5
47.200          3.4632E-5
47.400          3.8506E-5
47.600          4.2380E-5
47.800          4.6254E-5
48.000          4.9937E-5
48.200          5.6011E-5
